name,description,province
วัดพระแก้ว,พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม เป็นพระอารามหลวงในพระบรมมหาราชวัง กรุงเทพมหานคร ประเทศไทย เป็นที่ประดิษฐานพระแก้วมรกต,กรุงเทพมหานคร
เกาะพีพี,หมู่เกาะสวยงามในทะเลอันดามัน มีชายหาดขาวละเอียด น้ำทะเลใส เหมาะแก่การดำน้ำและพักผ่อน,กระบี่
ดอยสุเทพ,ดอยสุเทพเป็นส่วนหนึ่งของอุทยานแห่งชาติดอยสุเทพ-ปุย มีวัดพระธาตุดอยสุเทพเป็นสถานที่ศักดิ์สิทธิ์คู่เมืองเชียงใหม่,เชียงใหม่
อุทยานประวัติศาสตร์สุโขทัย,เมืองเก่าแก่ที่เป็นราชธานีแห่งแรกของไทย มีโบราณสถานที่สำคัญมากมาย แสดงถึงความรุ่งเรืองในอดีต,สุโขทัย
หาดป่าตอง,ชายหาดที่มีชื่อเสียงที่สุดในภูเก็ต เป็นศูนย์กลางการท่องเที่ยวและความบันเทิง มีร้านอาหาร โรงแรม และกิจกรรมมากมาย,ภูเก็ต
อุทยานแห่งชาติเขาใหญ่,เป็นมรดกโลกทางธรรมชาติ มีความหลากหลายทางชีวภาพสูง เป็นแหล่งที่อยู่ของสัตว์ป่านานาชนิด,นครราชสีมา
วัดร่องขุ่น,วัดที่ออกแบบและสร้างโดยอาจารย์เฉลิมชัย โฆษิตพิพัฒน์ มีความสวยงามโดดเด่นด้วยสีขาวและกระจก,เชียงราย
เกาะสมุย,เกาะที่ใหญ่เป็นอันดับสามของประเทศไทย มีชายหาดสวยงาม แหล่งท่องเที่ยวหลากหลาย และรีสอร์ทระดับโลก,สุราษฎร์ธานี
อยุธยา,อดีตราชธานีของไทย เป็นมรดกโลก มีโบราณสถานและวัดเก่าแก่มากมาย แสดงถึงความรุ่งเรืองในอดีต,พระนครศรีอยุธยา
เขาหลัก,แหล่งท่องเที่ยวทางทะเลที่มีชื่อเสียง มีชายหาดที่สวยงาม เงียบสงบ เหมาะแก่การพักผ่อน,พังงา
