name,description,location_name,date,type
เทศกาลลอยกระทง,เทศกาลประเพณีไทยที่สืบทอดมาแต่โบราณ จัดขึ้นในคืนวันเพ็ญเดือน 12 มีการลอยกระทง,วัดพระแก้ว,2023-11-27,festival
Full Moon Party,งานปาร์ตี้ริมชายหาดที่มีชื่อเสียงระดับโลก,เกาะพีพี,2023-12-15,party
เทศกาลร่มบ่อสร้าง,งานแสดงและจำหน่ายร่มที่เป็นเอกลักษณ์ของเชียงใหม่,ดอยสุเทพ,2023-10-20,cultural
งานประเพณีลอยกระทงเผาเทียนเล่นไฟ,เทศกาลที่สืบทอดมาแต่โบราณในจังหวัดสุโขทัย,อุทยานประวัติศาสตร์สุโขทัย,2023-11-27,festival
Phuket Carnival,เทศกาลฉลองเปิดฤดูกาลท่องเที่ยวประจำปี,หาดป่าตอง,2023-11-01,festival
เทศกาลดนตรีในสวน,คอนเสิร์ตกลางแจ้งท่ามกลางธรรมชาติ,อุทยานแห่งชาติเขาใหญ่,2023-12-02,concert
Light Fest,เทศกาลประดับไฟและศิลปะแสงสี,วัดร่องขุ่น,2023-12-10,art
Samui Songkran Festival,เทศกาลสงกรานต์ที่ใหญ่ที่สุดบนเกาะสมุย,เกาะสมุย,2024-04-13,festival
งานยอยศยิ่งฟ้า อยุธยามรดกโลก,งานแสดงแสง สี เสียง และศิลปวัฒนธรรมอยุธยา,อยุธยา,2023-12-15,cultural
เทศกาลอาหารทะเล,งานแสดงและจำหน่ายอาหารทะเลสด,เขาหลัก,2023-12-20,food
